Sentiment;TweetID;TweetText
positive;2417988;É cada coisa... muitaa saudade da época que restart era o botão do Nintendo !! :/
negative;2410560;Xinga o Justin Barbie mas usa um nike igual ao dele #FAIL (@pecesiqueira live on ~http )
positive;918662;"gostei do tenis azul la :D ; eu tenho a nike 6.0 preto :P"
negative;721508;"so esperando outro black out ; safados fazendo fraude ; quem ta dirigindo um audi ; nunca tomou banho de balde"
negative;2472962;"Agora a Nintendo tem que rezar para a @user conseguir mudar jogos para ""arte""; senão ficará dificil para a Nintendo no Brasil. @user"
positive;1156828;"A microsoft marcou uma era; é inegável. Acabei de ver que eles tem software pra desenho de flowchart; tudo o que eu precisava!"
positive;2431358;Obrigado internet banda larga. Conferência da Sony agora. #e3
positive;384323;Lançamento da Sony PSP2 mt show galera. ~http
negative;428622;"Ganso seu fdp; como tu te machuca seu caralho?! Agora não vai mais jogar aqui... Vai fazer um fortalecimento muscular; porque tá foda!"
positive;402377;Saindo Aqui Amores Da Minha Vida Razão Da Minha Existência !!...
positive;269913;Marquinho Manda uma camisa pra mim :D (@OficialFlu live on ~http )
positive;147109;que bom!!! menos um problema! agora só me faltam 2 pra resolver hj!
positive;1134181;Essa propaganda da Sony 'e muito boa!
positive;480948;"cheguei da loja ; ja comprei meu xbox 360 ; agora se pah hj vo volta pra compra a tv de 42 da sony ; outro presente de niver *--*"
positive;72532;1 e 6 da manha e eu tuitando daqui do quarto do hotel!!!! mt bom hj!!! '------' comprei um nike shox e uma Gap hoodie
positive;1128311;Video muito legal do Audi DTCC Etapa Campo Grande ~http  parabéns a @user
positive;163120;"“Não contem para ninguém; mas o Brasil é o meu país favorito.” Demi Lovato"
positive;1543021;Comprei um short da Nike e o meião canguru da Penalti preto pra jogar no interclasses! :D
positive;1315898;aguardando resposta da Sony Music..... vamos torcer!!!!!! para ser o site oficial do MWS no Brasil
positive;642926;tenhoo muito orgulho de ser Corinthianaa  #DiadoCorinthians ♥
negative;1299893;"fiquei cabreiro hoje entrei no site da adidas e vi que la nao mostra que eles patrocinam clubes brasileiros; só tem foto de camisa europeia"
negative;472430;Odeio sair com minha familia
negative;15283;"namoraaaaaaaaal; qe filha da putaaaaaaaagem velho; odeio esse tipo de beijo qe você não sabe o significado :@'"
positive;479841;"Eu baixei um monte de filtro e efeitos especiais pro meu Sony Vegas; meus videos vão ficar lindões agora! &lt;3"
negative;21284;Nenhuma situação é tão complicada que uma mulher não posso piorar.
positive;146926;Se tudo der certo - vou pra Ivinhema fazer outro curso sexta que veeem 0// Aproveitar que o papis ta investindo =)
positive;480914;Acabo de descobrir um dos melhores sites sobre Nintendo do país: @user  Sensacional!!!
positive;1441641;"Não creio achei um super nintendo na casa do meu primo; isso merece uma bora roda de de Mario kart."
positive;456712;Boa Noitee (:
negative;513515;"meudeus; tentar achar um jogo pra nintendo wii barato é mesma coisa que tentar achar uma lente de contato na piscina"
negative;782711;"Joogando Nintendo DSi ;     aô Mariio que não presta ; kkkkkkk'"
negative;69696;Photo: › Pessoas dramáticas me irritam profundamente. Mas sou a pior que já conheci. › › Prefira Borboletas ~http 
positive;176001;"o celular do pai chegou hoje; é o novo lançamento da samsung duos tv digital. To tentando conquistar ele a pedir um pra mim."
positive;501929;Minha Mãe está pensando em Comprar o Nintendo Wii' Dou maior força pra ela' kkkk xD
positive;1143636;UAU!!!... Fundação leiloa duas unidades cromadas do Audi R8 Spyder ~http  #G1
positive;387492;Sabe a música do tumblr da @user ? é muito linda! haha
negative;180757;Q palhaçada eh essa?! Colocaram um papel escrito Tinta Hoje aki na porta... Ai ai T.T
positive;620683;Muito bom poder adorar junto com meus irmãos da ibc-cabo frio É #shu
positive;26274;Passei nas provas de Mat. e Física!
negative;243510;"Ponei maldito ; ponei maldito; lá lá lá; ponei maldito ; ponei maldito; lá lá lá"
positive;514209;"Amanha vou ouvir o @user cantando; estou mais do que emocionado"
positive;391631;"BOM DIA!!! Hj é sexta! Amanhã chega visitas ilustres; prima Nike e amiga Cely. Bom d+!!!"
negative;1403421;Não comprem nada na Insinuante.com! Comprei 1 MP3 da sony nesta loja virtual e demoraram quase 30 dias pra me entregar o produto. TO FORA!
positive;536746;Dormir agora !!! Amanha Viagem longa !!! Go @user !!
positive;159932;"è muito barato pra mandar cartas; eu pensava q era caro. kkkkkkkkk vou mandar pro @user semana q vem; ou até essa mesmo. +"
positive;440068;tonyhawk o lendário do skate!
positive;879595;Consegui... Ela penso em mim UASHUASHUASHAUHAS
negative;276295;Tem um gato da minha vizinha que quando ele me vê ele corre !!! séra que soou tão feio ???
positive;367397;KKKKKKK Bom dia *
positive;205484;"Mandaram muito bem; meninos! :D (@Carlosdlucka live on ~http )"
negative;653242;"essa minha mamis ta de brincadeira mesmo; olha meu caderno: DE QUEM É ESSE CADERNO FEIO? ¬¬"
negative;2345053;"Odeio quando a Sony fica com a legenda atrasada; odeio quando a Sony fica SEM legenda; mas ficar tudo preto é de foder!"
negative;283892;a bateria do meu nintendo ta acababando tenho que sair.TCHAU GENTE
positive;250300;"Booa tardeee *--* que diia de sol mais lindoo; há alguns dias não tinhamos um dia tão lindoo!"
positive;759870;bom dia galera ...              alo final de semana chego em casa q eu naum vô fia é sexta feira vô sai vô farria..
negative;1322360;Mania maldita dessas empresas usarem tecnologias da microsoft em sites podres
negative;335295;#KibomSeria se meus pais entendessem que tenho quase 18 anos e preciso de privacidade. :@
positive;406577;Mas a minha torta de limão ainda é a melhor do mundo!!!(vão fazer fila aqui por conta da minha propaganda...rsrs)
negative;90012;"as pessoas que menos imaginamos; são as que mais nos descepcionam :x"
negative;126644;tem gente ingrata nesse twitter viu #aff
negative;275718;"Nossa hj meu dia começou chaaaato; acordar trabalhar ter que aguentar akele povinho td é froide"
positive;203694;Parabéns para a equipe Brasileira Signum Games! Vencedora da olimpíada tecnológica organizada pela Microsoft “Imagine Cup”.
positive;657791;Muito legal essa matéria no nike corre sobre a meia maratona de Halloween nos EUA ~http 
positive;32295;"Agr siim tudo correndo como agente queriia  dia 6 & 7 promoteee ' ;D"
positive;565110;#sandynagabi Parabéns Edu #thanksjimcarey #edu Sandoca Paçoca Panteras Microsoft Brasil Esses TT'br ainda? aff -.-
positive;1411971;"BOM DIA!!! Hj é sexta! Amanhã chega visitas ilustres; prima Nike e amiga Cely. Bom d+!!!"
positive;78865;*~http  - Cliquem ae lindos *-* pra me ajudar a ganhar uma camisa do greenpeace :D:D -
positive;850814;"quee chuva em santa maria.. cheguei em agudo agora; beleza esse feriadinho 8)"
positive;663329;bom dia gente! nossa acordando uma hra dessa?? o.O
positive;818484;"Ele não desiste de você; Ele se importa com você; Ele compreende o seu caminhar. Nunca vi um amor tão grande assim... Ele não desiste!"
positive;698235;É maravilhoso sentir o poder da ação de Deus em nossas vidas.
negative;765021;O BRASIL NÃO PODE CONTINUAR ASSIM - UOL Notícias #UOL ~http  via @user
negative;703385;"Porque a Barra sempre tem que ter um engarrafamento fuderoso? Que porra; quase três horas pra chegar em casa; EU EIM! u_u"
negative;520449;"-seu idioma eh holandes... R: Italia...                    Meu deus do ceu; q burra. #domigaodofaustao"
positive;692873;"Bom dia ! Que dia perfeito; qro praia."
negative;454771;"Quem não tem amor em casa; vai se ajeitar na rua;Se você não tem pra dar; sei que a culpa não é sua (8)"
positive;839716;e o #neymar jogou muito ontem selokoooo
negative;398304;Neymar foi engolido pela monstro do deslumbramento. Perdeu toda noção da boa educação - ~http 
positive;181660;Esse nike sim é vida (k)
negative;708051;"último jogo do ABC que eu volto em direção a esse apartamento; que triste"
positive;959249;"Em sampa.. Clima delícia; trânsito nem tanto. Bora pro evento. Microsoft ISV Executive Meeting."
negative;2062705;Passando para ver os TT' s e sentido inveja do celular top do meu irmão. Samsung andróide
positive;693544;aeww esses dias vou me empennhar aoo maximoo akii no meu twitter pessoal praa ver se consigoo nee?tentar nao custaa nada
positive;221280;Terminamos de assistir Cartas Para Julieta e fomos direto pra disney assistir HSM3... pra eu fechar o pacote completo de choro né zenti!
positive;631288;Acabei de ganhar uma camisa. da nike ... muito show
negative;167846;"Já parei para pensar sobre o meu passado ; e perceber o quanto eu já fui Idiota ."
positive;805239;"Sonheei com o garoto que eu gosto ; Nossa que emoçãao --'"
positive;981981;"sou mário; no nintendo eu esculacho; no super ou no 64; eu eu tenho o yoshi kkkkkkkkk."
positive;39258;nossa q da-hora o novo sony ericsson....~http 
positive;696518;Dia 18 de junho #diadoQuímico!!! parabéns a todos os colegas hehehe!!!
positive;646277;"Gente; meu cabelo tá tão bom. acho qe vou te ligar a twitcam"
negative;269958;"vo dormi duma vez; pq amanhã o dia vai ser #TENSO .. Boa noite"
negative;57638;"Até Agora Nenhuma Surpresa na Conferencia da Microsoft #e3 .;"
positive;474438;se alguem olhar pra mim na aula e me ver dançando é pq to escutando Asking Alexandria uhsauhsauhsa não da pra ficar parado
negative;639752;Absurdo: a Samsung está disponibilizando papéis de parede para celular e alguns deles apresentam  cenas de violência contra gatinhos - cont
negative;237235;"OMG;num consigo seguir mais ngm '-'"
positive;443421;#Sigam @user A maior e melhor festa de colégios do Brasil! +11
negative;238772;amanhã eu certamente vou me arrepender por não ter dormido cedo. :(
positive;758652;Valeu a pena esperar pra comprar um Samsung Corby *u*
positive;165213;"tipo; eu AMO ficar postando fotos da Tay no tumblr *-----*"
positive;180821;Choveu mais uma vez por aqui.... Que bom... =D
negative;531779;PQP! QUE SOFRIDO MANO! ACAAABAAA JUÍZZZ!!!!
negative;1204693;Valor pedido pelo Audi A7 no Brasil equivale ao de três carros nos EUA ~http  vía @user que #absurdo!
positive;513123;"PRAIAAAAAAAAAAAAA...muuuuito sol; muito calor; churras...isso q eh vida."
positive;1453073;"e o NIKE ROSA que minha mamis comprou pra ela; MORRI DURA ! Lindissímo; quero ele pra mim :("
negative;215201;"Gentemmmmmmmmmm q raiva é essa; ninguém desiste da prova...eu heimmm; viu o q a raiva faz com nosso corpo...mastrata e nem sentimos"
negative;323198;esse meu msn sempre escolhe as piores oras pra ficar cainduuu ¬¬ .
negative;2359765;Paris Hilton com a mesma cara em todas as fotos? então ela é uma boneca de cera? achei q a cara dela fosse é de pau...
positive;21915;isso aew Corinthias!
positive;1467006;As fotos do Audi R8 LMS ficaram incríveis! ~http
positive;291140;"mamis comprou um relógio da gucci lindooo; vou pegar para mim!  HAHAHA"
positive;164966;da parabéns daqui a dois dias faço 1 mês de FC ? 6 (@sophiaabrahao live on ~http )
positive;819849;Bom Dia Twiteiros (nem sei se é assim que se escreve rs) as provas acabaram!!!!!!! de ferias da faculdade finalmente!!
positive;613485;"Ti vejo lá. :) RT @user Vou estar no MVP Open Day na Microsoft dia 28/09; espero ver os feras MVPs do momento | #mvpbr"
positive;1363623;Na estrada indo para Evento Microsoft - Serviço mais Software especial AZURE!!! Microsoft São Paulo... Abraço a todos...
negative;1780123;o site da sony tá uma bosta..... sempre em manutenção!!! #eisonyvtnc
positive;143726;Só preciso de você Fernando ♥
positive;196560;VAMOOOOSSSS LuAloneNoCriancaEsperanca 1
negative;607473;"cara como eu já to anojada desses fãs do restart qe fikam enxendo no orkut  e falando mal da gi namorada do lanza;eles tem ciumes seilá e +"
negative;137180;"É dificil ir quando se quer ficar; sorrir quando se quer chorar; mas dificil mesmo é esqueçer quando se quer amar!"
positive;359001;VOLTEI \O/ comprei meu tenis da nike & minha blusa da marimonroe *-*
positive;1453085;"Até que enfim meu @user pegou o Nike dele de volta; depois de 6 meses guardado na casa de um amigo dele."
positive;742253;"Acabei de assister Awake; um bom filme!! Boa Noite Galera!! :))"
positive;197720;Estou tão feliz!
negative;35964;Fudi meu pé na praça hoje! Puta que óh pariu!
positive;575512;70 reais a inscrição pro circuito estações adidas lol Vou correr a de novembro !
negative;656702;Kra essa cadela fdp me odeia. Ou ela tem ciúme do Rafa O.O
negative;1051716;"Pow; acho que os caras da Nintendo tao perdendo a criatividade com os polemon; vey"
positive;44645;auhsuahsuahs instalei meu velho nintendo de guerra. Mazáá Super Mario good times
positive;1906182;lool *-* eu vou ganhar um nike da @user  kkk s2
positive;781029;Pra consegui fica perto do MEU TODO PODEROSO eu faria qualquer coisa  #soumanodomano
positive;284443;Niver de um amigão hj... vou ver os amigoooss! VIAJANDO PORTOOO :)
negative;1701047;o pior é qe a loja autorizada da Sony ericson é longe pra caranba
negative;887271;:( dia sem graça
positive;2414730;Experimetei ontem o Nintendo 3DS muito legal
positive;177018;meu primo #BOQUITA ki arrumou minha net  muito obg!
negative;50654;"Ser pequena e ainda no fundo da pista; mereço"
negative;759120;assistindo planeta dos macacos. Kkkk filminho bobo --'
positive;398009;Vencemos o fraquíssimo Atlético-PR com autoridade. Continue assim até o fim! Gremio 3 x 0
positive;551078;A NIKE convido eu e o meu primo o gui pra surfar no rio
positive;202553;meu sobrinho está tão lindo *-* fazendo caretinha e dando um role de Nike zo/
positive;698104;O Dudu e a @user tão namorando
positive;579585;Caraca incadritável como as previsões do meu horoscopo pra esse ano estão batendo certinho!
positive;148621;Vou assistir hoje hahaRT @user VOOO ir assistir Harry Poter HAHAHAH alguem qr ir ? essa semana xD
negative;162219;putz eu esqueci a minha carteira la no PY .....--'
positive;2039258;ganhei uma bolsa linda da nike do papiis (:
negative;755850;"Eu odeio a Samsung ; ainda mais qdo se compra um Omnia 2 e ele está a mais de mês na garantia e eles não dão previsão de ficar pronto…"
negative;596910;Que nada @user um banho de chuva de vez em quando faz bem! Isso foi por vcs terem me enchido bem o saco na escola vc sabe o PQ.Né
positive;704244;feriado nacional amanhã : ) \o/ grandes homenagens serão feitas!
negative;764295;"que golpe!!! é incrível como;quando tudo esta bem pra você;a vida vem e da um jeito de estragar"
positive;792545;"parabens fernanda; vc fez a coisa certa"
positive;654805;A iniciativa do @user em reeducar os hábitos alimentares nos Eua são plausiveis! Apoiado!
negative;116852;Se você procura notícias sobre a Paris Hilton você precisa de um psicologo. #FALOMESMO
positive;394382;Bom dia e ótima quarta-feira para todos. Hoje a agenda está cheia.
negative;898480;ahhhhh eu tenho q espera o nintendo carrega mais eu nao consigo =/
positive;824550;Morrendo de rir com esses tuítes aqui xD
negative;300094;"o que me dá mais raiva as vezes; é a hipocrisia"
positive;215060;A outra coisa que me deixou alegre foi o experimento bem sucedido de extração de DNA.
positive;765312;Uma das melhores e mais inspiradoras propagandas que já vi. Adidas All in =) ~http
positive;1066588;Eu gostei de um vídeo do YouTube -- Conheça o portátil Nintendo 3DS (Pt - Br) ~http
negative;742840;estudante da UFF que completava seu trabalho de conclusão de curso quer desistir e voltar para sua cidade após assalto armado #UFFnoCQC
positive;284153;acessando o twitter no meu nintendo dsi. uhu! vo assisti @user
positive;180456;"ontem foi muiiiiito bom; festa da nike no arpex depois festa novamente ! cheguei em casa de madrugada cansadao; hj é so relaxar"
positive;13037;kkkkkk bom d+ @user  amanhã eu não trabalho.. p gente ir aí
positive;889491;"Fica aí uma dica de filme ..""Uma noite fora de série""..muito booom!!..vale a pena..fui!!!! bjos!!"
positive;684699;"HAUSAHSSU rindo muito agora!! Obs: já era para eu estar dormindo; já que eu vou acordar cedo haha =P"
positive;784422;Tempo Bom em Gv......... Clima Perfeito.....
negative;852336;"Não poderia deixar de falar; mais uma vez o tricolor carioca decepciona seus torcedores; pobres coitados..."
negative;93095;Tentei assistir a fazenda cm a mami.. mas não dá está MUITO SEM GRAÇA sem o @user! Aai que saudades dele lá :(
positive;1928182;"Adooorei essa idéia! @user Uma TV sem tela? Sim; a Samsung pensou nisso!"
positive;352696;MUITO feliz e satisfeito com a conferência da Microsoft na #E3 #GTE3
negative;359099;Minha febre aumentou..Tô indo pro hospital... Aff!!!!
positive;637495;"Viciei na Net do Samsung Star que meu pai achou e me deu; hahah; quero aproveitar e agradecer a mais de 1.290 seguidores Por me seguir"
negative;454788;Odeiam qnd Ligam e Ficam em Silêncio Imagino Tudo menos que a Ligação ta Ruim !
negative;254561;"Oxii; tem um povo no meu orkut que só entra no orkut pra ficar entrando em comunidades ¬¬"
positive;817611;sonho um dia vou ter uma r1 que moto é essa!!!
positive;2001611;BNoite Twittersrun. Bom encontrar amigos na Adidas Inverno em SP. Blog atualizado. Abracos ~http  SMAM RUNNINGDIVAS
negative;662270;Só sai gol nessa copa quando o goleira franga!! Afff.....
positive;913590;"YEPEEEEE! GANHEI UM SAMSUNG GALAXY 5 DE NIVER ADIANTADOOO! É TOUCH SCREEN; TEM NET: ORKUT; TWITTER; FACEBOOK; ETC; TEM CÂMERA E É LINDO! :-D"
negative;1834173;Puuuuuuta Maaaanoooo! Deu pau no meu Sony DVD Architect e não tava conseguindo instalar de novo! Que medo! Agora consegui!
positive;444716;"tô no trampo; hoje ta suaavee; ontem fooi coisa de louco; maaas hj está do jeito que eu gosto #curtindootrampo"
negative;575418;porra n tenho paciencia pra fica upando de boa nesses joguinhos :(
positive;587570;Agora vou ter 8000 microsoft points!!!
positive;561959;"Bom dia povo ;D"
positive;81568;"ai gente eu to tão feliz; finalmente eu passei na recuperção"
positive;474203;"Eu sempre quis ter o corpo de um atleta. Graças ao Ronaldo isso já é possível ;D"
positive;730680;Keith Urban é uma obra de arte
negative;629139;"'Não corrigimos falhas menores para não danificar o produto'; diz Microsoft ~http  #G1 || Explica isso pro cliente #soudev"
negative;771574;"A Microsoft precisa repensar o ícone de ""salvar"" dos seus programas... Disquete não dá mais!"
negative;224019;serio??? Amy Winehouse morreu
negative;1568059;"porra não sei qual a animação do pessoal pra ficar vendo computadores por aí ¬¬ e ruim ainda ; sou mais sony ou dell do que hp"
negative;1771394;"Tenho que concordar; dessa vez acho que a SONY forçou a barra; a voz na "" Breaking News "" não é do Michael Jackson; parece um backstreet boy"
positive;720618;"comecei a jogar JONAS pra nintendo ds; é bem dificil mas divertido =D"
negative;444598;minha casa esta mal assombrada rapaaazzzz !!!!! ))):
negative;997224;a Paris Hilton tem algum tipo de sentimento? pq ela está sempre com a mesma expressão!!!!!!!!!!!!!!!!!!!!!!!!!!
negative;1257277;"Creio eu que nintendista é o ser mais insuportavel da face da terra ; pior que torcedor de futebol; nintendo &lt;3"
positive;783517;"Tirei 10 na prova de inglês; mó tempo ki eu naum tenho uma nota dessa'"
negative;774694;A falta de tweets do @user é um espanto.
positive;425400;muito legal o treino hoje estreiei o meu novo tênis nike ctr360 muito tri
