Sentiment;TweetID;TweetText
negative;15486;"Social Media muss professionell werden - wenn ich sowas lese; kommt mir das Frühstück wieder hoch. Wir brauchen hier keine Drücker; Leute!"
positive;19336;Nie mehr ohne dich-ich liebe dich :-*
negative;8420;"Argh; all die Videospiel-News allein zu posten ist echt nervig und anstrengend! Helft mir bitte und meldet euch im Nintendo Gamer Forum!!!"
negative;41732;"Keine Lust mehr DX Ich waere fast in Braunschweig stecken geblieben &gt;&gt;"
positive;17237;Playstation Network passwort wieder gefunden =)
negative;21858;Vermisse sie einfach. aber trau mich nicht es ihr mal zu sagen.
negative;35624;#Bad Ems hat soviel Flair wie ne Scheibe Toastbrot.
positive;12361;hab grad dein Trailer gesehen zu deiner Sendung auf einsfestival. Huhu ich freu mich schon :D. Kommt des jeden Donnerstag?
positive;144031;Freut sich auf Ihren Sony Ebook Reader!
positive;27742;"So; noch ein letztes mal alleine schlafen; dann hab ich endlich @user wider *freu*"
negative;32535;Herr Holm ist alt geworden.. Und immer noch nicht witzig!
positive;38684;steinofen flammkuchen käse lauch.. beste was grade geht.. lecker lecker lecker.. (:
positive;12362;"Bald kommt mein bestelltes Spiel an. ""Naruto S. Ultimate Ninja Sotrm 2"" Ich freu mich schon. Ich wills jetzt schon haben."
negative;32701;Glückwunsch #SPD Lehrte: katastrophale Zustände im neuen #OBI. Aber das stört dich ja schon länger nicht mehr. ~http 
positive;36823;Angeschlossen und klingt einfach nur fett :) #Teufel
positive;11916;musik hören und gitarre spielen :)
negative;2961;vor 12 stunden lagen wir noch zusammen am strand. ach man :/
positive;43894;"So Ihr Lieben! Ich wünsche euch einen guten Rutsch ins neue Jahr! Feiert schön und macht nichts; was ich nicht auch bereuen würde ;-))"
positive;8392;habe seit heute einen mac book pro zu hause stehen :-) liebe ihn
negative;28015;Ah... Gary Oldman ist in dem Film so ein Ekel....
positive;6503;"(Deswegen ist mir mein Bio-Lehrer sehr sympathisch ;D)"
negative;130486;"Kann man Domains bei #Strato mit Microsoft Office 365 (#BPOS) nutzen? Es scheint; als könnte man die NS-Records nicht ändern. :-("
positive;24378;Manchen Leuten folge ich nur aus @user. Höhöhö. Total witzig und neu. Gerade frisch ausgedacht. Gab's noch nie!
negative;22575;Das Niveau hat mal wieder abgesagt...ab mit dem Kopf!
negative;13509;"dann gibts da noch die menschen; die sich einfach mal gar nich mehr melden und man sich fragt; was das eigentlich soll u_u"
negative;40097;"Ehrlich ey. schon wieder keinen Bock mehr. &gt;_&gt; Wie kann man so verblendet sein?"
positive;19553;Hatte einen wunderbaren Abend.. :)
positive;32071;Morgen nach der Arbeit zu Dodo (:
positive;30660;Weil´s Spaß macht! #ff @user @user @user @user @user @user
negative;34278;Zurück in Düsseldorf - war klar dass das Wetter schlecht ist...
positive;39023;Der morgen ist da und was ist? Einer der Akkus geht wieder! :-)
positive;3247;"Mhhh; wüüünderschööönes Wochenende!!! ♥"
positive;8003;"Gleich gehts nach Hannover zum Einkaufsbummel. Freu mich schon; war schon ewig nicht mehr in Hannover :)"
positive;43628;allen einen wunderschönen guten morgen. geniest den tag und Gönnt euch selber oder euren Liebsten was. ~http 
positive;18334;"Mein neuestes Hobby: Im Frankentipps-Ticketsystem die ausgefallensten Saalpläne als Szenarientest anlegen;-) Macht Spaß!"
positive;32129;Was für eine Aussicht! ~http 
positive;21437;yeeeah hab mir cooking mama gekauft :D
positive;98185;freut sich über seinen neuen sony vaio
positive;45857;"Übermorgen kann ich schon sagen: ""morgen gehts endlich nach hause zur tollsten frau der welt!"" *träum*"
positive;40514;Auf geht's Werder kämpfen und siegen!
negative;40100;"Haha das ist wirklich nur noch Kindergarten! Wie lächerlich! xD Dumme; unreife Kinder."
positive;42389;#Holzwickede SG Holzwickede: Sommerfest bietet Spiel und Spaß ohne Grenzen: Nur noch zweimal schlafen und der Sp... ~http 
negative;38206;Mein Fresse blutet ohne dass ich eins aufs Maul bekommen hab .. Das soll mir mal einer nachmachen
positive;6415;Eine gute Nachricht gibt es noch: Mein Schnupfen ist verflogen! *__*
positive;3454;"Unterricht ohne Lehrer ist toll. &lt;3"
negative;13811;Wie ich einfach schon wieder kotzen könnte. Und heulen. Am Besten abwechselnd. Scheiße.
negative;21777;jetzt schnell Musik hören bovor ich richtig schlechte laune bekomme!
negative;159988;Oh noez! Microsoft kauft Skype. Übermorgen geht die Welt unter.
positive;2647;Heute leg ich einen Martha Stewart Tag ein :) Wer will Tiramisu??
positive;44720;Hatte gestern einen schönen Geburtstag :)
negative;1063;ER macht mich aggressiv...
positive;38669;hahahaha... xD xD xD... ich lach mich tot.. schön das man mir auf diese art und weise ein lächeln ins gesicht zaubern kann.. xD xD xD haha..
negative;31638;Dieser Domscheit-Berg ist so ein asozialer Spinner...
negative;46187;Das nenne ich ganz schön Mutig erst holt man einen der sanieren soll und will mit den großen Hunden pinkeln und dann keinen Arsch inne Hose
positive;17161;Frühling ist da!!!!! und es gibt grad nichts schöneres als Sonne
positive;1114;Soooo auf geht's Löwen kämpfen und siegen :)) (@ Eissporthalle Neuss) ~http 
positive;17523;heute nachmittag gabs einen leckere bio burger... :) ~http 
positive;45759;"Heute gehts shoppen !!! Wir bringen Mama´s Kreditkarte zum glühen; oder nicht ??? Mal sehen !!!"
negative;3945;Und heute lag der Frosch vor meiner Tür!Er war Tod.Tod Zerquetscht!Wer dahinter steckt is unbekannt.Die Freiheit ist schon lange Tod Freunde
positive;27785;".. Frittenbude ist schon geil. (: &lt;3'"
positive;29738;Guten Tag an diesem herrlichen Freitag
positive;12540;Nach ADC Silber und Cannes Silber freuen wir uns über GOLD beim ADC Europe für die MB Sprinter-Bewerbung. ~http  ^JO
negative;785;wääääh~ blöde urm... keinen bock mehr zu lernen T__T
negative;44627;Ich hasse dich Ich hasse dich  Ich hasse dich Abgrundtief  Ich hasse dich  Ich hasse dich  Ich hasse dich weil du mich nicht liebst #raheem
negative;21074;"Schön; wenn im Bad das Wasser zur Abwechslung mal nicht aus dem duschkopf kommt sondern von der Decke tropft! :( #Wasserschaden"
negative;19514;Heute ist eindeutig einer dieser Tag wo man bereut jemals aufgestanden zu sein!
negative;9694;"Halsschmerzen / Kopfschmerzen ;( Nachher Zeitungen verteilen -.- Ob ich das überstehe ? :D"
negative;40158;"ich finds teils recht lachhaft; wenn deutsche meinen englische Übersetzungen von japanischen Texten zu übersetzen :D"
negative;665;Neuen Podcast aufgenommen...Stimmung trotzdem auf dem Nullpunkt.
positive;43849;So endlich Feierabend :) Werd mir jetz erstmal ne coole Hose kaufen gehen dann nach Hause bissel weiter schrauben :)
positive;132019;Wuhu mein Sony Ericsson Satio wurde schon auf 50 € geboten! So kanns weiter gehen xD
positive;3931;An Anika: Ich liebe das Kochbuch!! Ich muss unbedingt was daraus kochen! Danke für deinen Brief und den Geburtstagsgruß.
positive;18715;"hat morgen ihren letzten offiziellen Schultag; eeehe eeh :-)"
positive;3426;Das heute Abend war toll ♡
negative;20763;HAHA RT @user Scheiss Rockermähne-Sie musst beim kotzen meine Haare halten!
positive;25096;ja 6 siege aus 10 spielen super !! #duknb
positive;46108;"man ist das schön DSDS gucken; surfen und Alk^^"
positive;44570;"Endlich ein anständiges Piericng für die Zunge gekauft; ich kann wieder reden!"
negative;41728;Mein Daumen faengt an zu kratzen Dc
negative;2013;"Und manchmal nervt es; dass NewYorker keinen Onlineshop hat. D:"
positive;44514;...morgen warsch. eLp mit den besten Mädis :) ...ennnnnndliich wochenende....guck mir jz GZSZ an :)
positive;25669;Heute Essen war supii :**  hBa dich lieb
positive;6939;Ist es nicht süß? :P ~http 
positive;19060;Dieses Video musst du dir ansehen! -- glenn frey - the heat is on video ~http  via @user muß sein ^^
positive;21678;"Plant ein Wochenende in Hamburg. Tolle Stadt; tolle Leute!"
negative;9775;man scheis schule! könn mich alle ma! scheis lehrer! sollen sich doch alle figen!
positive;39979;wie süß *-*
positive;30040;"Verdammt; war der Film cool! #fastfive"
positive;18304;Eine phantastische Sängerin ist Toni Childs. ~http 
negative;7139;"ich will meine Kamera jetzt. sofort. meeeeh ._. und ich Doofkind hab auch noch meinen Stick mit den Fotos in der Akademie vergessen &gt;_&gt;"
negative;17682;Der gestrige Abend war.. kaputt.
negative;3844;Fuck. Ich bin krank. Letzte Nacht gebrochen und heute total im Arsch.
negative;37073;und dann kommt der Tag an dem die ganze Welt unter dir zerreist...
negative;13502;die jugend heutzutage..
negative;29500;"Unglaublich; dass es immer noch Blogs ohne RSS-Feed gibt..."
positive;43836;Weihnachtsmarkt war geilo. Jetzt nach hause und dann überlegen was als nächstes anliegt :)
positive;39788;Ja geil Noiceroom is dick! Lass ma abgehen!!!
positive;46086;freundin is da :D
positive;30757;Ach ich liebe mein Samsung Galaxy S mit Android ..und Danke Appel du hast gezeigt wie ein Smartphones sein muss
positive;7041;"Ja das wars :) aber jeder tag mit dir ist toll &lt;3"
positive;32445;wasfür ein fetter sound: get well soon - und legal kostenlose live ep ~http 
positive;19215;"Haben uns im Festival Walk ""True Grit"" angeschaut. Klasse Film -- und mit sehr nettem Humor..."
negative;6099;Und schon kommt einem das Leben ein kleines bisschen grauer vor...
negative;41832;Zuckerrübenernte auf Rekordniveau! Wenn deine Lokalzeitung damit eröffnet ist es an der Zeit in eine Großstadt zu ziehen.
positive;34411;Ich hab endlich nen Kleid für die Silberhochzeit meiner Ellies!!
positive;40750;Heute werd ich gefirmt :D
positive;21245;"die Dokomi war so toll &lt;3 Hoffentlich kann ich die Mädels alle bald wiedersehen (vl. nach meinen Umzug oder so)"
positive;23154;Wir wünschen allen Kunden und Freunden unseres Weinguts ein gesundes und erfolgreiches neues Jahr!
positive;6522;Etwas bessere Laune: Heut Mittag gibt es Kaiserbraten mit Sauerkraut :)
negative;27174;Also E-Technik war glaub ich in Ordnung. Physik war mehr oder weniger schlecht. :( so ein Mist. Muss es wahrscheinlich nochmals schreiben :(
negative;43708;Da kommt man gestresst nach Hause und das Bett ist abgebrannt... Es gibt diese Tage da sollte man einfach zu Hause bleiben...
negative;3720;"Wenn es eines ist; was ich nicht ausstehen kann; dann sind das Lügen."
positive;27633;aber nachher ab 14 Uhr  gibts dann Frühstück und Mittagsschlaf. freu :-)
positive;7466;"Video schneiden. ;D"
negative;41413;Kopfschmerzen X___x - Der heutige Arbeitstags war echt anstrengend. Heut geht's früh ins Bett...
negative;21462;"Ich hasse es; wenn ich bei Passwörtern so kreativ war; dass sie mir selber nicht mehr einfallen..."
positive;14367;"Ein richtiger Ohrwurm :-) RT @user ""Keks!!! Alter Keks! ist der mit Ohrsand?"" (@helge kommt auch vor) ~http "
positive;1827;"WARM! O_O Ich weiß nicht wieso; aber ich fühl mich Heute sexy!!! 8D"
positive;32499;Frauen- #WM Meine Güte ist #Marta cool vor dem Tor. Die hat die Ruhe weg. 3:0
positive;369;"Mein neuer Shop; ich freue mich auf Ihren Besuch ~http "
positive;9899;Guten Morgen Leute..gerade aufgestanden und jetzt die pizza in den Ofen schieben^^
positive;17085;"So; die letzten beiden kleinen süßen Schlingel haben nun auch ein gutes neues Heim gefunden! Danke an alle; die eins adoptiert haben!!! :-)"
positive;46650;#Meral ist geil Elektrisches Gefühl #Juli #XFactor
positive;884;i ha scho en wiehnachtsgschenkli becho... ziel: schoggi-santa uffresse *freu*
positive;14376;"Endlich mal wieder SONNE! - Setzt die Sonnenbrille auf; Leute! 8)"
negative;19435;Irgendwie is alles doof...
positive;14886;Gut gestärkt vom Mittagessen starten wir nun mit den Anträgen #kjgdk
negative;162728;"Man man man wie ich diese Typen von xBox hasse!! die mit ihren xbox kinect so eine billige und dreckige sache; sony hat ja was viel besseres"
positive;18641;"geil; wenn man bis 2 uhr nachts in der schule hockt und alkoholische getränke ausschenkt ... so sollte das immer sein"
positive;39316;Chuck & Larry auf Sky. Der Film ist einfach gut!
negative;26389;"Urlaub fängt mit der Erkenntnis an; dass mir jemand ne fette Beule in die Tür gefahren hat und abgehauen ist :-("
positive;35583;Der ist j sooo süß der kleine. :) /⁰Heute kommt mei Schatzi wieder heim. :-* /⁰Dann Tischtennis gegen Döhlau.
positive;6375;Einfach nur unglaublich gut! *___* (watching Neues vom Wixxer) ~http 
positive;9356;Ich wuensche allen schoene Weihnachten. I wish a happy chrismas.
negative;40987;Matrix ist so ein NERD-Film
negative;3875;Das war rot du spasst.
positive;4014;=) danke schön!
positive;21900;Yeah! bin alleine in nem fremden Haus.
negative;36776;"früher waren lehrer immer diese menschen ohne privatleben. jetzt; wo ich lehrer kenne & teil ihrer privatleben bin weiß ich es: ICH BIN ALT!"
negative;38187;ich sollte mal mit dem fressen aufhören.. echt grausig. was nur los? D:
positive;3369;"Hoffentlich gucken viele #WM; dann wird das später ein entspanntes shopping in #wiesbaden"
positive;36701;Ein frohes neues Jahr 2011!
negative;29377;"In der Haribo Colo-Rado Tüte sind auch immer weniger Sachen drin; die ich mag..."
negative;10722;"so... deg ticket verkauft bekommen... was sie aktuell an musik produzieren ist net mein fall &lt;_&lt;;"
positive;10211;freut sich aufs LaserQuest heut abend!
positive;78;"heute abend party; döngesmühle!!!  mit meiner besten!!!"
positive;20150;hach ist das schön wenn die sonne scheint xD
positive;10841;"....wie schön; keine Banane mehr; gut; dass sich manches mit einer einfachen Kündigung lösen läßt..."
positive;40682;"Danke für´s folgen @user @user @user @user @user ; Euer ~http "
negative;21210;"verdammte Urlaubszeit und schon steigt  die Zahl der Fundtiere; der Ausgesetzten !!!"
negative;226;Mein Plattenspieler gab nach 12 jahren grad den Geist auf :( Letzter Song: Etta James - Power Play.. R.I.P.
positive;11828;hahahaha was ein Erlebnis im mandalay :D
positive;41263;"ASP war sehr sehr sehr geil! Within Temptation geniesse ich aus der ferne; Beste Freundin lieber mittendrin. #meraluna"
positive;30490;"Wünsche allen die es lesen möchten einen wunderschönen Abend; bei dem Wetter keine Kunst."
negative;3056;bah. volvic ist ekelig.
positive;7930;lol das mit dem #Dschungelcamp ist einfach nur belustigend haha xD
negative;46691;Frauenfußball ist soooooooooo schlecht
negative;39927;scheiss Wetterumschwung! gnaaahhhh &€kjsbrfbowfoinwrfverksd
negative;39110;Na Toll! Jetzt ist mir das ganze noch auf den Kreislauf geschlagen. Damit lieg ich für heute Flach :-(
negative;39755;Alter wie ich einfach mal so kein Bock mehr hab.
negative;35291;"wenn sarah knappik im tv über paris hilton urteilt; stimmt was nicht am sonntagmorgen."
positive;5211;VIA @user Weil unser Herz Liebe kennt ♥ sehr schön!
positive;26134;"Es gibt da ein supi geiles Forum &gt;_&lt; ~http  der Manga ist auch geil *-* das müsst ihr euch ansehen &gt;_&lt; supi game ^^"
negative;38836;Mir gehts immer noch beschissen|heftige Halsschmerzen -.-''
negative;6927;"Fenster zu es zieht!Nein;Fenster zu es stinkt wieder gewaltig im Hinterhof!Was so ein Imbiss so alles ungestraft darf!Frische Luft bitte!!!"
negative;43051;doofes wetter zum bremsen machen...
positive;25589;"Geschafft! ... Knuddelesel.de auf Jomsocial 2.2.1 geupdatet ... läuft noch nicht alles rund; aber wird ja hoffentlich"
positive;22911;"Wir sind dabei; Wormser Pfingstmarkt! Wir freuen uns auf interessante Gespräche! Halle 5/512 vom 22. bis 30. Mai 2010 ~http"
positive;20833;"Juuhuu.. ""Schutzengel"" von Paulo Coelho gewonnen..das ist doch mal eine gute Nachricht heute..."
positive;42960;Harry Potter und die Heiligtümer des Todes T.2 am Dienstag war echt klasse. Und dann nächste Woche nochmal in 3d und demnächst 24h HP! :3
negative;95341;"Handy vollkommen kaputt -_- Sony Ericsson sucks -_-"" Kann ich echt nicht empfehlen! Morgen nach 'nem neuen Ausschau halten *seufz* #Xperia"
negative;46639;Ich mag #Anthony nicht @user
negative;46098;heute voll abgekackt zum kotzen ey geht gar nicht
negative;3169;Ich möchte Menschen verfluchen können!!
negative;22466;"Enclave90 Patricia RT @user Kann mir mal jemand bitteschön zusammenfassen; was der Scheiß mit Berlin bitte soll? #fickdichberlin"
positive;19959;mein Auto fährt trotz Eiseskältet!
positive;10111;"Guten Morgen Welt ;-)"
negative;37320;"Bin erst ne Woche bei Deviantart und bekomm jetzt schon Spam-Nachrichten; Yeah!"
positive;45707;Auch ich wünsche allen hier weiterhin frohe und gesegnete Weihnachten! :)
negative;23296;kann ma einer mein freund werden hier ..... fühl mich nach 4 minuten immer noch so alleine :-/
positive;6076;Jahrgangsstufe 12... nur noch 2 Jahre und dann endlich vorbei... :D :D
positive;8254;süße :* ich hab dich lieb und mag dich :**♥
positive;9718;Hallo ihr Lieben (:
positive;105261;Geil !!!!! Neues Samsung Galaxy S 2
negative;30772;Neinnnn bitte nicht...~http 
positive;25003;Der erste Tag ist rum und die Arbeit gefällt. :-) #s2
positive;19320;"Nur noch ein paar Std ;)"
positive;11614;Neue Frisuuuur xD und ich seh verdammt gut aus :P
positive;43211;LOL ist toll! ~http
positive;19352;Nie mehr ohne dich-ich liebe dich :-*
positive;26422;Feierabend
negative;18272;"„Warum sagst du das nicht vorher; warum erst jetzt? Was tun wir denn so schnell? ...“ Daily Dueck Aktuell ~http  via @user"
positive;35560;Frohes Neues ! ! ! Hoffentlich seit ihr alle schee nei gerutscht^^
negative;16283;"1;60 männlich rote haare etwas dick hasenfresse und n iq von mettwurst und ne stimme wie verona feldbusch! Die nervige aushilfe!"
negative;11513;aber der mond..:(
negative;34418;Zum #Plagiat Vorfall: Selbst der erste Absatz findet sich woander wieder. Schon dreist. ~http 
negative;7384;"Es ist traurig;wenn sich zwei Menschen einig darüber sind;dass sie nichts mehr miteinander zu tun haben wollen."
positive;32125;Heute muss mal wieder ein Eintrag rein. Es ist ein geiles Gefühl wenn man auf den Knopf drückt und es 8 mal die Sek. Klack macht! Wahnsinn!
positive;35494;Die Liebe ist mein Lebens-Navi
negative;18745;"ich hasse ich hasse ich hasse ich hasse wen auch immer; am besten alle !"
positive;21226;Endlich konnte ich meinen Schweinehund überwinden und mich an das Kleid machen... naja... ok... ich hab den Stoff zurecht geschnitten XD
positive;7888;Ich spiel grad Nintendo DS :D
negative;14059;"Nacht durchmachen; weil ich eben angefangen habe einen 5-seitigen Bericht zu schreiben; den ich morgen abgeben darf. Na das wird n Spaß -.-"
positive;13263;Morgen gehts vielleicht nach Hamburg :)
negative;25570;Frauen kann man doch echt nicht weiter trauen als man sie sieht ... schlimm sowas ...
positive;30184;Guten morgen. Endlich mal ein guter start in start in den tag.
negative;13149;Ach hab ich lust heute :___:
positive;42902;Ach was für ein schönes Video ~http 
negative;40023;"Yahoo-Chefin per Telefon gekündigt. Hm ... dass dazu nicht das Internet genutzt wurde; zeigt Yahoos Niedergang ganz deutlich ..."
positive;11511;soo...um circa 10 uhr muss ich erst am bahnhof sein und kann demnach noch was chillen...:D
positive;45250;"gleich essen gehen; und dann ab nach frankfurt und von dort aus nach griechenland :)"
positive;12656;Super Wetter! Heute abend gleich mal noch ins #Freibad nach #Nagold ins kühle Nass!!!
negative;43318;Biathlon ist ja schön und gut aber hier zu rumzuschreien naja vllt sollte meine mutter mal zur waffe greifen
positive;34464;nächstes jahr schicken wir mannymark und die atzen da hin dann kommt mal etwas krassere stimmung auf :D   #ardesc   #esc
positive;37095;es ist unglaublich ich habe Mathe gelernt... schon fast erschreckend
negative;31741;"Blaulichtsteuer; Bräunungssteuer ... unglaublich; wie einfallsreich man in Deutschland ist! Immerhin darf man noch steuerfrei kacken"
negative;14026;Welche Katastrophe? @user Drei Jahre hattet ihr Zeit um solch eine Katastrophe nicht zu veranstalten. Peinliche Nummer! @user
positive;37060;Warum beklagen sich eigentlich alle über den Herbst? Von wegen schlechtes Wetter und so. Ich liebe den Herbst. Ist die schönste Jahreszeit.
positive;9915;Dann haben mir heute B-War mit Jugendstiel für das SESS zugesagt...ich freue mich riesig!
positive;43079;ralf gib alles:D
negative;3917;Also plume ist im Moment echt nicht zu gebrauchen... #SlowAsAss
negative;36786;"offenbar gefällt es petrus; mich dabei zu beobachten; wie ich alle 43 minuten den wäscheständer rein/raus trage."
positive;9550;der Deniz ist cool folgt ihn denizkoekden #ardesc
positive;2342;Bin auf 'ner Party. Überall Chips und so ^^
positive;18697;"haut jetzt mit Ida Corres ordentlich auf die Scheiße ; muss mal wieder; ein hoch auf die Mäünner !!!!"
negative;20410;"Boah; ich glaub ich esse diese Woche kein Fleisch mehr :( läßt stark nachdenken #deutschland isst #ARD"
negative;44151;"Ich werde den Blick senken; wenn #Schavan im Sommer #Nacktscanner präsentiert... wäre das nicht eher ein Modeljob? ~http"
negative;3355;Nix im Stiefel .... hätte ihn wohl doch vor die Tür stellen sollen.
positive;28031;So.4 Tage studio mit der Band sind rum. Anstrengend wars. Aber sau geil. Wer ist der beste rapper in town. Koby. Grins
negative;5059;k 3 Herzinfarkte oder so. Man man man #Bayer macht mich fertig :/
positive;43320;"Auch wenn ich wüsste; dass morgen die Welt zugrunde geht; würde ich heute noch einen Apfelbaum pflanzen."
positive;8020;Eben über n neues Buch gewundert Toll was die sich einfallen lassen ~http 
positive;29593;"Wow; was für ein hübsches #Läufergadget! Die #Sport Watch von Nike misst irgendwie alles & besitzt noch ein TomTom-GPS: ~http "
negative;2145;Du bist weg von mir und somit bleibt mir nichts.
positive;29419;Derbe viel erledigt heute... jetzt noch ein Stündchen Sonne am Park Fiction!
positive;12385;"Der Herbst ist eine schöne Jahreszeit; einer meiner Liebsten ^^. Ich mag diese regnerische;nebligen Tage. #fall"
negative;44993;omg xD warten is unmöglich!!
positive;24771;LIVE !!! MORGEN!! SAMSTAG WIRD EIN HAMMER!! AB UM 10 IM FUCHS UND ELSTER!! AB UM 2 IN DER WILDEN RENATE!! NICH VERPASSEN!! LUSTNLOVELOVESYOU
negative;2151;Wer das liest ist blöd.
positive;39533;"NurNoch6Tage 14Tage #Filme;#GamesAusleihen ~http  Habe ich selbst gemacht;ohneKosten;voll toll! ~http"
positive;26609;Leute! Ist hier oben ein Platz. Mein Gehege war schon klein.
negative;11075;Verrückt. Wie manche Droge einen zerstören kann. ~http  #drogen #fotografie
negative;9893;"jetzt ist gerade wieder ne down phase..stress mit den eltern; also ich meine wer hat das nicht..ne? Aber irgendwann wirds zu viel..ganz klar"
positive;15138;"Und ich arbeite weiter und weiter an meine Website. Ich bin schon recht zufrieden mit ihr; das Farbschema ist jetzt auch ganz ok."
negative;23806;"volle Kanne durch mdl.Prüfung gefallen. Kein Sprachfluß. Hallo; schomal was von Stausee gehört?"
negative;37429;Der alte Wildeshauser Bahnhof muss langsam renoviert werden  @ Bahnhof Wildeshausen ~http 
positive;39679;Wochenende war produktiv! Neben diesen beiden 15kg+ fischen konnte ich noch 3 weiter carp´s bis 12kg auf der haben... ~http
negative;19841;Petrow wird hoffentlich bestraft. Auch wenn das Schumi nicht viel nutzt.
negative;27038;freitags kein fleisch? was essen die dann? glühbirnen??#simpsons #katholikenspinnen
positive;16211;Vorteil vom Home Office: Bei Web Seminaren Bier trinken...
positive;26108;"Ich hab getanzt; ich hab geweint; ich hab geschrien vor Glück."
positive;10969;"von unten nach oben; aus dem dreck ans licht; der löwe der strasse; wie phoenix aus der asche; ich flieg!"
negative;26172;"Rockin Heaven is ein soooooooo geiler Manga &gt;__&lt; leider wirds neu aufgelegt und kann den Manga nicht lesen; also heißt es via Mangafox lesen"
positive;16671;"zorolo verlost einen Samsung 3D-Fernseher; weil @user (~http  weiß; was Fans glücklich macht!"
negative;7625;"Meine Selbstgespräche machen irgendwie nicht so viel Spaß; wenn Mama mit im Zimmer sitzt und mir antwortet."
positive;9541;"Lena hat mich geflashed &lt;3 #ardesc"
negative;18368;"Der/Das Blog. Hauptsache; man hat mal drüber gebloggt. Und nat zuhauf kommentiert ~http  /v mehrwertzone cc @user ;-)"
positive;972;Ich mag ein YouTube-Video. -- Rauchbombe :D ~http 
positive;45182;Yippieh - jetzt zur Aftershow!!:)
negative;27254;"Abmahn Abzocker immer dreister: Lizensgebühr für ""ABI"" ~http "
positive;25571;Endlich Schnuppi ist wieder da und ich kann mit ihr schreiben
positive;2858;Also so gings mir bei 24 Stunden fahrt gut ! ~http
positive;3781;"Wie die Zeit vergeht; wenn man Spaß hat."
negative;26605;Ich war gestern frech und muss heute vorsprechen beim Chef.
negative;36871;So genannte Ehrlichkeit ist manchmal nur versteckte Grobheit.
negative;13015;"dass du keine andern Sorgen hast; @user :)"
positive;17835;Unser kleiner Engel (Bendicta) freut sich TÄGLICH auf Eure Stimmen beim Fotowettbewerb. Danke ~http 
positive;3932;sprint! ich will das sprintfinale der männer endlich sehen!!
positive;1461;"Hurra das Ebook zu ""Lügenwahrheit"" ; dem Mobbing-Krimi ist da: ~http "
positive;36818;#SDP - Kontrastprogramm am 10.12. Wird des Fett!
negative;33114;Wirtschaftsminister Rainer Brüderle kann von mir aus nach Fukushima auswandern. Ist ja nicht so schlimm da….
positive;12377;Was habe ich heute gelernt: Wie meine Kipp-Funktion an meinem Schreibtischstuhl an mache. XD
negative;15353;Immernoch auf Callejon warten xD
positive;1171;Erster Tweet vom Samsung Wave :D
positive;23205;Judtih Merchant ist jetzt angereist und von ihrer Krimisuite ganz hin - und - weg! Unsere Gäste sind schon ganz... ~http 
negative;10402;guckt grad den schlechtesten animierten film EVER :D :D
negative;42012;aarrrghhh...ich seh nur noch kartons und müllsäcke...rettet mich!
negative;4235;BlackBerry Enterprise Server 5 hat mir gerade fünf Stunden meines Wochenendes geklaut! Danke #RIM
negative;21241;man... warum kann Baby nicht wenigstens das Princess Drop von der Sale Seite nehmen? Hab mich eben schon wieder grundlos gefreut -.-...
negative;27439;Putty is geil ... 3 Verbindungen abgebrochen ... hauen die 3 Teile meinen i5 auf 100% Auslastung ... wtf! #putty #fail
negative;43069;was soll das denn jetzt heißen
